id,name,food_group,calories,protein,carbs,total_fat,saturated_fat,unsaturated_fat,trans_fat,cholesterol,fiber,sugar,sodium,potassium,calcium,iron,magnesium,vitamin_a,vitamin_c,vitamin_d,vitamin_b12,glycemic_index,glycemic_load,fodmap_level,insulin_index,contains_gluten,contains_dairy,contains_nuts,contains_shellfish,contains_eggs,contains_soy,contains_fish,contains_wheat,flavor_profile,texture,spice_level,average_cost,seasonal_availability,prep_time,vegetarian,vegan,pescatarian,keto_friendly,paleo_friendly,diabetes_friendly,heart_healthy,kidney_friendly,liver_friendly,cuisine_origins,breakfast_friendly,lunch_friendly,dinner_friendly,snack_friendly,sleep_impact,stress_impact
1,Ingredient_1,Oils,280,22.6,4.1,8.6,9.4,18.7,0.91,9.7,13.0,7.1,594.3,438.2,52.1,9.8,93.9,9896.1,29.8,48.1,1.62,21,10,Medium,26,1,0,0,0,1,0,0,1,Sour,Tender,9,0.69,Winter,13,1,0,1,0,0,1,0,1,0,Asian,0,0,0,0,Negative,Positive
2,Ingredient_2,Vegetables,295,25.5,4.4,6.2,4.0,15.8,0.09,10.9,0.1,12.6,8.2,787.6,358.9,1.2,67.5,5457.3,79.3,25.6,2.1,58,24,High,9,1,0,0,0,0,0,0,0,Salty,Soft,3,7.51,Spring,3,0,0,0,0,0,0,0,1,0,Global,0,1,1,0,Negative,Negative
3,Ingredient_3,Vegetables,315,9.8,17.9,29.2,5.0,19.1,0.32,5.2,11.2,3.5,160.4,41.9,115.5,1.0,188.5,4067.6,27.6,44.6,2.4,96,14,High,94,1,0,0,0,0,0,0,0,Salty,Creamy,0,0.8,Spring,17,0,0,0,0,1,1,1,0,0,Asian,0,0,0,0,Negative,Positive
4,Ingredient_4,Herbs/Spices,82,21.5,0.1,17.9,6.9,19.0,0.88,10.2,12.7,3.4,187.2,274.0,188.6,5.2,150.5,6565.2,16.0,16.8,0.04,8,23,Low,9,0,0,1,0,0,0,0,0,Salty,Chewy,7,9.39,Spring,1,1,1,1,0,0,0,0,1,0,Mexican,0,1,0,0,Neutral,Positive
5,Ingredient_5,Grains,151,15.0,28.4,3.7,5.3,19.8,0.61,68.5,5.0,7.5,820.4,604.1,399.6,3.7,161.0,1126.6,58.9,13.3,0.62,19,13,Low,29,0,0,1,0,0,0,0,1,Sour,Firm,4,4.61,All year,5,0,1,1,1,1,1,0,0,1,Global,1,1,1,1,Negative,Positive
6,Ingredient_6,Nuts/Seeds,266,0.2,1.0,29.7,3.3,16.4,0.7,29.2,3.3,9.6,957.3,358.1,306.8,7.1,14.0,4871.5,12.6,28.8,3.42,28,1,Low,19,0,0,1,0,0,0,0,0,Savory,Creamy,7,6.8,Fall,11,0,1,1,0,1,1,1,1,0,Indian,1,1,1,0,Neutral,Positive
7,Ingredient_7,Protein,382,25.1,0.2,2.0,1.6,4.0,0.92,80.7,9.9,16.1,383.6,117.3,482.2,5.5,24.6,1445.5,80.1,3.9,0.92,57,18,Medium,42,0,0,0,0,0,0,0,0,Savory,Crunchy,1,5.88,All year,11,0,0,1,1,1,0,1,1,0,Global,1,1,1,0,Neutral,Negative
8,Ingredient_8,Herbs/Spices,54,9.7,46.0,17.0,9.7,11.5,0.13,98.8,2.4,17.6,812.7,297.2,233.3,8.1,7.6,4623.0,4.4,9.4,0.16,90,4,Low,98,1,1,0,0,0,0,0,0,Salty,Crispy,6,6.51,Spring,3,0,1,1,0,0,0,0,0,1,Mexican,0,0,1,0,Positive,Negative
9,Ingredient_9,Dairy,166,17.1,11.6,3.0,3.4,10.8,0.74,23.6,9.5,18.6,598.8,249.9,303.5,2.5,178.9,5404.0,37.7,49.9,4.46,59,7,Medium,14,1,1,0,0,0,0,0,0,Bitter,Firm,5,1.11,Summer,5,0,1,1,1,1,1,1,0,0,Indian,1,1,1,1,Neutral,Neutral
10,Ingredient_10,Protein,173,13.4,45.6,25.2,3.8,16.8,0.48,56.9,6.8,3.8,878.9,886.1,362.5,2.3,31.3,1015.6,77.4,48.8,3.21,89,0,Medium,17,0,0,0,0,1,0,0,0,Savory,Crunchy,8,6.12,Fall,1,0,1,0,0,0,0,1,0,0,Asian,0,0,1,1,Negative,Positive
