food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.00,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.00,676.75,303.50,34.50,0.00,29.90,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0.00,0.00,0.00,0.09,0.00,0.05,0.00,0.00,0.00,0.00,1.80,0.01,0.03,0.02,0.09,0.01,0.51,1.80,0.50,50.00
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.00,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.20,16.44,2.88,3.36,16.27,0.00,2030.25,910.50,103.50,0.00,93.90,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0.00,0.07,0.00,0.29,0.00,0.17,0.00,0.00,0.13,0.00,5.60,0.02,0.09,0.80,0.25,0.03,3.49,5.60,1.51,150.00
ASC003,Espreso coffee,asc_manual,217.00,51.54,6.62,1.75,2.14,6.53,0.00,1291.67,580.16,66.21,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,343.94,81.70,10.49,2.77,3.39,10.36,0.00,2047.30,919.55,104.95,0.00,92.10,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0.00,0.05,0.00,0.30,0.00,0.17,0.00,0.00,0.09,0.00,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51,150.00
ASC004,Iced tea,asc_manual,44.09,10.34,2.70,0.03,0.01,2.70,0.00,5.47,0.00,5.47,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40,1.86,0.22,tall glass,141.09,33.10,8.64,0.09,0.04,8.64,0.00,17.50,0.00,17.50,0.00,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,1.28,0.01,0.00,0.02,0.02,0.01,0.02,1.28,5.95,0.70
ASC005,Raw mango drink (Aam panna),asc_manual,152.39,35.92,9.05,0.16,0.03,7.49,0.61,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,0.00,19.00,8.95,11.41,214.33,84.45,0.36,0.07,0.13,0.01,0.14,0.03,0.08,0.00,0.46,3.92,0.00,9.25,0.00,14.05,0.01,0.01,0.14,0.07,0.07,0.73,14.05,45.30,448.89
ASC006,Fruit Punch (with fresh juices),asc_manual,153.89,36.12,9.38,0.14,0.03,9.25,0.06,6.21,1.30,10.08,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01,0.03,0.00,0.13,0.00,0.02,0.00,0.05,0.05,0.00,0.56,0.00,4.51,0.02,0.00,0.04,0.04,0.01,0.15,4.51,7.61,45.53,tall glass,837.66,196.60,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,0.00,27.59,55.75,17.40,14.33,181.99,0.56,0.05,0.17,0.00,0.69,0.02,0.12,0.00,0.25,0.27,0.00,3.06,0.00,24.57,0.09,0.02,0.22,0.24,0.08,0.83,24.57,41.44,247.86
ASC007,Fruit Punch (with squashes),asc_manual,98.22,23.13,5.99,0.07,0.02,5.88,0.17,5.23,1.63,7.07,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.00,0.08,0.00,0.01,0.00,0.03,0.05,0.00,0.65,0.00,1.82,0.00,0.00,0.02,0.02,0.01,0.08,1.82,3.00,55.69,tall glass,493.91,116.30,30.12,0.36,0.08,29.58,0.85,26.30,8.20,35.57,0.00,16.60,46.59,9.48,11.35,83.72,0.31,0.04,0.18,0.00,0.41,0.01,0.06,0.00,0.14,0.27,0.00,3.28,0.00,9.13,0.02,0.01,0.09,0.08,0.04,0.39,9.13,15.08,280.01
ASC008,Lemonade,asc_manual,88.66,20.80,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.30,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60,1.51,53.70,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0.00,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0.00,0.01,0.01,0.04,0.00,0.00,0.03,0.00,1.64,0.00,2.11,0.00,0.00,0.02,0.02,0.01,0.02,2.11,5.27,187.53
ASC009,Lem-o-gin,asc_manual,91.63,21.52,5.55,0.08,0.03,5.38,0.13,9.41,1.47,13.20,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.00,0.08,0.00,0.02,0.00,0.01,0.10,0.00,1.00,0.00,0.82,0.00,0.00,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,326.90,76.76,19.81,0.29,0.10,19.21,0.46,33.58,5.23,47.10,0.00,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0.00,0.30,0.01,0.07,0.00,0.03,0.34,0.00,3.56,0.00,2.92,0.01,0.01,0.05,0.04,0.02,0.10,2.92,5.68,212.20
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.23,9.09,1.86,0.17,0.11,1.46,0.46,14.50,40.04,33.53,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,129.54,30.80,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0.00,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0.00,0.05,1.94,0.00,5.99,0.00,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61,217.20
